keys,en,zh_CN
写入失败，可以重试；原存档保留。,Write failed. Retry is available; the previous save is preserved.,写入失败，可以重试；原存档保留。
保存失败，可以重试；原存档保留。,Save failed. Retry is available; the previous save is preserved.,保存失败，可以重试；原存档保留。
无可用行动,No legal action,无可用行动
继续,Continue,继续
中等,Medium,中等
范围再加注,Range re-raise,范围再加注
范围全下,Range all-in,范围全下
范围跟注,Range call,范围跟注
范围弃牌,Range fold,范围弃牌
平跟入池,Limp,平跟入池
免费看牌,Free card,免费看牌
范围让牌,Range check,范围让牌
范围平跟,Range flat call,范围平跟
范围开池,Range open,范围开池
诈唬加注,Bluff raise,诈唬加注
谨慎弃牌,Cautious fold,谨慎弃牌
价值加注,Value raise,价值加注
赔率跟注,Pot-odds call,赔率跟注
控池让牌,Pot-control check,控池让牌
采样不足，保守让牌,Too few samples; check conservatively,采样不足，保守让牌
采样不足，保守弃牌,Too few samples; fold conservatively,采样不足，保守弃牌
EV弃牌,EV fold,EV弃牌
EV让牌,EV check,EV让牌
EV跟注,EV call,EV跟注
EV加注,EV raise,EV加注
EV全下,EV all-in,EV全下
EV行动,EV action,EV行动
偏好资料来自更新版本，已保留原文件；本次使用默认设置且不覆盖。,Preferences are from a newer version. The original file is preserved; this session uses defaults without overwriting it.,偏好资料来自更新版本，已保留原文件；本次使用默认设置且不覆盖。
部分旧配置无效，已回退到支持的安全配置。,Some old settings were invalid and have been reset to supported values.,部分旧配置无效，已回退到支持的安全配置。
"整场目标：赢得牌桌全部筹码；筹码归零则整场结束。开桌可选人数、筹码和盲注，盲注一场内固定，重新开桌完全免费。

每手用自己的两张底牌与最多五张公共牌选最佳五张。流程为翻前 → 翻牌（三张）→ 转牌（一张）→ 河牌（一张）→ 摊牌；对手全部弃牌时可提前结束。

让牌：无需跟注时免费继续。跟注：补足本轮最高下注，筹码不足时只付剩余筹码。加注到：本轮累计投入的目标总额，不是额外投入。弃牌：放弃本手争夺。全下：投入剩余筹码，但仍受加注权限制。

多人桌翻前从大盲之后开始，翻后从庄位之后第一位可行动者开始。单挑时庄位兼小盲，翻前先行动、翻后后行动。每手庄位轮换。

全下玩家只争夺其投入对应的底池，其余投入形成边池。最佳五张相同则平分，余数按庄位之后的座位顺序分配。无人跟注的多余筹码退回。派奖金额不是净利润，净变化须扣除本手投入。

设置和速览打开期间牌局等待。已完成手牌保存成功后可以跨启动回放；当前未结束的对局不支持续玩。离开时放弃未结算手牌，提前离桌单列。保存失败会明确提示并可重试。","Match goal: win every chip on the table; you are eliminated when your stack reaches zero. Choose player count, stacks, and blinds before starting. Blinds stay fixed for a match and restarting is free.

Use your two hole cards and up to five community cards to choose the best five. Streets are preflop, flop (three cards), turn (one), river (one), then showdown. A hand can end early if every opponent folds.

Check continues for free when there is nothing to call. Call matches the current wager; a short stack pays only its remaining chips. Raise to is your total contribution on this street. Fold gives up the hand. All-in commits the remaining stack, subject to raise rights.

Preflop at a multi-player table starts after the big blind; postflop starts with the first active player after the button. Heads-up, the button is also the small blind and acts first preflop. The button rotates each hand.

All-in players contest only pots covered by their contribution; the rest becomes side pots. Equal best fives split the pot, with odd chips dealt clockwise after the button. Uncalled excess is returned. Payout is not net profit; net change includes this hand's investment.

The game waits while Settings and reference panels are open. Completed hands can be replayed after a successful save; unfinished matches cannot resume after restart. Leaving abandons an unsettled hand and is tracked as an early exit. Save failures are shown and can be retried.","整场目标：赢得牌桌全部筹码；筹码归零则整场结束。开桌可选人数、筹码和盲注，盲注一场内固定，重新开桌完全免费。

每手用自己的两张底牌与最多五张公共牌选最佳五张。流程为翻前 → 翻牌（三张）→ 转牌（一张）→ 河牌（一张）→ 摊牌；对手全部弃牌时可提前结束。

让牌：无需跟注时免费继续。跟注：补足本轮最高下注，筹码不足时只付剩余筹码。加注到：本轮累计投入的目标总额，不是额外投入。弃牌：放弃本手争夺。全下：投入剩余筹码，但仍受加注权限制。

多人桌翻前从大盲之后开始，翻后从庄位之后第一位可行动者开始。单挑时庄位兼小盲，翻前先行动、翻后后行动。每手庄位轮换。

全下玩家只争夺其投入对应的底池，其余投入形成边池。最佳五张相同则平分，余数按庄位之后的座位顺序分配。无人跟注的多余筹码退回。派奖金额不是净利润，净变化须扣除本手投入。

设置和速览打开期间牌局等待。已完成手牌保存成功后可以跨启动回放；当前未结束的对局不支持续玩。离开时放弃未结算手牌，提前离桌单列。保存失败会明确提示并可重试。"
